0.00;;;;;;;;;;
1.00;1;13.346578;42.364985;121.29;DEFAULT_VEHTYPE;0.00;5.10;-80518211#4_0;0.00;
2.00;1;13.346599;42.364975;121.29;DEFAULT_VEHTYPE;2.03;7.13;-80518211#4_0;0.00;
;2;13.343873;42.367152;43.93;DEFAULT_VEHTYPE;0.00;5.10;574968590_0;0.00;
3.00;1;13.346641;42.364957;121.29;DEFAULT_VEHTYPE;3.98;11.11;-80518211#4_0;0.00;
;2;13.343886;42.367163;43.93;DEFAULT_VEHTYPE;1.58;6.68;574968590_0;0.00;
4.00;1;13.346709;42.364928;121.29;DEFAULT_VEHTYPE;6.54;17.66;-80518211#4_0;0.00;
;2;13.343919;42.367189;43.93;DEFAULT_VEHTYPE;3.96;10.64;574968590_0;0.00;
;4;13.355860;42.363945;10.51;DEFAULT_VEHTYPE;0.00;5.10;237215339#10_0;0.00;
5.00;1;13.346796;42.364890;121.29;DEFAULT_VEHTYPE;8.27;25.93;-80518211#4_0;0.00;
;2;13.343965;42.367226;43.93;DEFAULT_VEHTYPE;5.57;16.20;574968590_0;0.00;
;4;13.355860;42.363957;7.90;DEFAULT_VEHTYPE;1.38;6.48;237215339#10_0;0.00;
;5;13.362763;42.371467;284.45;DEFAULT_VEHTYPE;0.00;5.10;-550739883#2_0;0.00;
6.00;1;13.346898;42.364847;121.29;DEFAULT_VEHTYPE;9.69;35.62;-80518211#4_0;0.00;
;2;13.344029;42.367277;43.93;DEFAULT_VEHTYPE;7.82;24.02;574968590_0;0.00;
;4;13.355858;42.363992;359.88;DEFAULT_VEHTYPE;3.90;10.37;237215339#10_0;0.00;
;5;13.362732;42.371472;282.85;DEFAULT_VEHTYPE;2.55;7.65;-550739883#2_0;0.00;
;6;13.352825;42.364648;96.81;DEFAULT_VEHTYPE;0.00;5.10;-252020825#1_0;0.00;
7.00;1;13.347010;42.364787;127.74;DEFAULT_VEHTYPE;11.37;46.99;-80518211#4_0;0.00;
;2;13.344112;42.367343;43.93;DEFAULT_VEHTYPE;10.03;34.05;574968590_0;0.00;
;4;13.355845;42.364048;350.00;DEFAULT_VEHTYPE;6.25;16.62;237215339#10_0;0.00;
;5;13.362671;42.371472;271.67;DEFAULT_VEHTYPE;5.08;12.73;-550739883#2_0;0.00;
;6;13.352851;42.364639;108.38;DEFAULT_VEHTYPE;2.36;7.46;-252020825#1_0;0.00;
8.00;1;13.347137;42.364717;127.74;DEFAULT_VEHTYPE;13.03;60.03;-80518211#4_0;0.00;
;2;13.344212;42.367424;43.93;DEFAULT_VEHTYPE;12.17;46.22;574968590_0;0.00;
;4;13.355816;42.364121;343.52;DEFAULT_VEHTYPE;8.46;25.08;237215339#10_0;0.00;
;5;13.362591;42.371449;246.54;DEFAULT_VEHTYPE;7.07;19.81;-550739883#2_0;0.00;
;6;13.352887;42.364619;126.71;DEFAULT_VEHTYPE;3.72;11.19;-252020825#1_0;0.00;
;8;13.362763;42.371467;284.45;DEFAULT_VEHTYPE;0.00;5.10;-550739883#2_0;0.00;
9.00;1;13.347277;42.364639;127.74;DEFAULT_VEHTYPE;14.42;74.45;-80518211#4_0;0.00;
;2;13.344308;42.367505;40.44;DEFAULT_VEHTYPE;11.99;58.22;574968590_0;0.00;
;4;13.355780;42.364195;340.60;DEFAULT_VEHTYPE;8.83;0.80;:3634781973_0_0;0.00;
;5;13.362502;42.371399;229.44;DEFAULT_VEHTYPE;9.25;29.06;-550739883#2_0;0.00;
