0.00;t_0;13.343398;42.366839;167.51;DEFAULT_VEHTYPE;0.00;5.10;574968591#0_0;0.00
;t_1;13.340249;42.372377;128.16;DEFAULT_VEHTYPE;0.00;5.10;263827102_0;0.00
;t_2;13.348472;42.364116;293.38;DEFAULT_VEHTYPE;0.00;5.10;80518211#2_0;0.00
;t_3;13.359344;42.370313;222.02;DEFAULT_VEHTYPE;0.00;5.10;-542078581_0;0.00
1.00;t_0;13.343403;42.366824;167.51;DEFAULT_VEHTYPE;1.73;6.83;574968591#0_0;0.00
;t_1;13.340264;42.372368;128.16;DEFAULT_VEHTYPE;1.63;6.73;263827102_0;0.00
;t_2;13.348448;42.364123;293.38;DEFAULT_VEHTYPE;2.10;7.20;80518211#2_0;0.00
;t_3;13.359325;42.370296;222.02;DEFAULT_VEHTYPE;2.47;7.57;-542078581_0;0.00
2.00;t_0;13.343412;42.366796;167.51;DEFAULT_VEHTYPE;3.23;10.06;574968591#0_0;0.00
;t_1;13.340296;42.372350;128.16;DEFAULT_VEHTYPE;3.27;10.00;263827102_0;0.00
;t_2;13.348407;42.364136;293.38;DEFAULT_VEHTYPE;3.71;10.91;80518211#2_0;0.00
;t_3;13.359293;42.370269;222.02;DEFAULT_VEHTYPE;3.99;11.55;-542078581_0;0.00
3.00;t_0;13.343430;42.366745;165.68;DEFAULT_VEHTYPE;5.82;15.88;574968591#0_0;0.00
;t_1;13.340344;42.372323;128.16;DEFAULT_VEHTYPE;5.00;15.00;263827102_0;0.00
;t_2;13.348338;42.364157;293.38;DEFAULT_VEHTYPE;6.06;16.97;80518211#2_0;0.00
;t_3;13.359245;42.370228;222.02;DEFAULT_VEHTYPE;6.04;17.60;-542078581_0;0.00
4.00;t_0;13.343459;42.366675;163.90;DEFAULT_VEHTYPE;8.22;24.10;574968591#0_0;0.00
;t_1;13.340410;42.372286;128.16;DEFAULT_VEHTYPE;6.77;21.76;263827102_0;0.00
